structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2018-Q3,2018,Q3,373.2498,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2018-Q4,2018,Q4,362.557,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2019-Q1,2019,Q1,365.2816,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2019-Q2,2019,Q2,373.5381,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2019-Q3,2019,Q3,370.5977,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2019-Q4,2019,Q4,363.3826,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2020-Q1,2020,Q1,375.9821,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2020-Q2,2020,Q2,361.0687,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2020-Q3,2020,Q3,348.3851,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2020-Q4,2020,Q4,353.6641,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2021-Q1,2021,Q1,360.804,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2021-Q2,2021,Q2,372.7415,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2021-Q3,2021,Q3,377.6001,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2021-Q4,2021,Q4,378.3544,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2022-Q1,2022,Q1,383.7916,Normal value,False
Employed population by age groups,NZL,New Zealand,Employment,Persons,Calendar and seasonally adjusted,Total,From 15 to 24 years,Quarterly,2022-Q2,2022,Q2,381.2961,Normal value,False
