structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,employment_value,observation_status,is_estimated
Employed population by age groups,SVN,Slovenia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2019,443.0,Normal value,False
Employed population by age groups,SVN,Slovenia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2020,437.5,Normal value,False
Employed population by age groups,SVN,Slovenia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2021,437.425,Normal value,False
Employed population by age groups,SVN,Slovenia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2022,442.875,Normal value,False
Employed population by age groups,SVN,Slovenia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2023,443.9,Normal value,False
Employed population by age groups,SVN,Slovenia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2024,446.625,Normal value,False
Employed population by age groups,SVN,Slovenia,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2025,449.325,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2016,8272.5,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2017,8486.5,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2018,8716.75,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2019,8945.25,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2020,8669.25,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2021,8977.9,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2022,9294.7,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2023,9657.625,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2024,9896.375,Normal value,False
Employed population by age groups,ESP,Spain,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2025,10151.55,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2016,2257.25,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2017,2297.25,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2018,2330.75,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2019,2332.5,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2020,2282.25,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2021,2299.625,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2022,2365.925,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2023,2413.6,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2024,2410.875,Normal value,False
Employed population by age groups,SWE,Sweden,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2025,2414.65,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2016,2074.25,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2017,2078.75,Normal value,False
Employed population by age groups,CHE,Switzerland,Employment,Persons,Calendar and seasonally adjusted,Female,From 15 to 64 years,Annual,2018,2099.25,Normal value,False
