structure_name,country_code,country,measure,unit_of_measure,sex,age,year,population_value,observation_status,is_estimated
Historical population data,MEX,Mexico,Population,Persons,Female,From 15 to 64 years,2021,44341.601,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Female,From 15 to 64 years,2021,1659.28,Normal value,False
Historical population data,POL,Poland,Population,Persons,Female,From 15 to 64 years,2021,12473.227,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Female,From 15 to 64 years,2021,15588.773,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Female,From 15 to 64 years,2021,21783.94,Normal value,False
Historical population data,USA,United States,Population,Persons,Female,From 15 to 64 years,2021,107333.619,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Female,From 15 to 64 years,2022,8429.01,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Female,From 15 to 64 years,2022,2969.338,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Female,From 15 to 64 years,2022,12629.423,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Female,From 15 to 64 years,2022,1763.3,Normal value,False
Historical population data,FRA,France,Population,Persons,Female,From 15 to 64 years,2022,21250.651,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Female,From 15 to 64 years,2022,3322.352,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Female,From 15 to 64 years,2022,3088.874,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Female,From 15 to 64 years,2022,118.071,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Female,From 15 to 64 years,2022,1713.631,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Female,From 15 to 64 years,2022,2859.409,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Female,From 15 to 64 years,2022,18677.713,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Female,From 15 to 64 years,2022,17902.496,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Female,From 15 to 64 years,2022,936.879,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Female,From 15 to 64 years,2022,44814.584,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Female,From 15 to 64 years,2022,5672.655,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Female,From 15 to 64 years,2022,1650.33,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Female,From 15 to 64 years,2022,3393.874,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Female,From 15 to 64 years,2022,15752.623,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Female,From 15 to 64 years,2022,2853.051,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Female,From 15 to 64 years,2022,21932.889,Normal value,False
Historical population data,USA,United States,Population,Persons,Female,From 15 to 64 years,2022,107429.636,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Female,From 15 to 64 years,2024,8861.82,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Female,From 15 to 64 years,2024,2981.012,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Female,From 15 to 64 years,2024,3734.243,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Female,From 15 to 64 years,2024,13397.336,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Female,From 15 to 64 years,2024,6798.544,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Female,From 15 to 64 years,2024,18275.024,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Female,From 15 to 64 years,2024,1789.381,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Female,From 15 to 64 years,2024,3414.747,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Female,From 15 to 64 years,2024,1879.854,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Female,From 15 to 64 years,2024,432.583,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Female,From 15 to 64 years,2024,1700.358,Normal value,False
Historical population data,FRA,France,Population,Persons,Female,From 15 to 64 years,2024,21303.539,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Female,From 15 to 64 years,2024,3278.869,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Female,From 15 to 64 years,2024,3062.672,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Female,From 15 to 64 years,2024,123.176,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Female,From 15 to 64 years,2024,1788.651,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Female,From 15 to 64 years,2024,2883.166,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Female,From 15 to 64 years,2024,18570.52,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Female,From 15 to 64 years,2024,36294.554,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Female,From 15 to 64 years,2024,17651.085,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Female,From 15 to 64 years,2024,596.981,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Female,From 15 to 64 years,2024,933.08,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Female,From 15 to 64 years,2024,229.017,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Female,From 15 to 64 years,2024,45787.748,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Female,From 15 to 64 years,2024,5746.294,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Female,From 15 to 64 years,2024,1716.05,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Female,From 15 to 64 years,2024,1769.476,Normal value,False
Historical population data,POL,Poland,Population,Persons,Female,From 15 to 64 years,2024,12149.123,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Female,From 15 to 64 years,2024,3447.209,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Female,From 15 to 64 years,2024,1751.184,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Female,From 15 to 64 years,2024,643.397,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Female,From 15 to 64 years,2024,16123.372,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Female,From 15 to 64 years,2024,3218.045,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Female,From 15 to 64 years,2024,2918.932,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Female,From 15 to 64 years,2024,28957.565,Normal value,False
Historical population data,GBR,United Kingdom,Population,Persons,Female,From 15 to 64 years,2024,22610.071,Normal value,False
Historical population data,USA,United States,Population,Persons,Female,From 15 to 64 years,2024,107788.136,Normal value,False
Historical population data,AUS,Australia,Population,Persons,Female,From 15 to 64 years,2023,8666.917,Normal value,False
Historical population data,AUT,Austria,Population,Persons,Female,From 15 to 64 years,2023,2978.269,Normal value,False
Historical population data,BEL,Belgium,Population,Persons,Female,From 15 to 64 years,2023,3719.131,Normal value,False
Historical population data,CAN,Canada,Population,Persons,Female,From 15 to 64 years,2023,13000.176,Normal value,False
Historical population data,CHL,Chile,Population,Persons,Female,From 15 to 64 years,2023,6779.008,Normal value,False
Historical population data,COL,Colombia,Population,Persons,Female,From 15 to 64 years,2023,18121.05,Normal value,False
Historical population data,CRI,Costa Rica,Population,Persons,Female,From 15 to 64 years,2023,1777.874,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Female,From 15 to 64 years,2023,3409.351,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Female,From 15 to 64 years,2023,1870.998,Normal value,False
Historical population data,EST,Estonia,Population,Persons,Female,From 15 to 64 years,2023,431.867,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Female,From 15 to 64 years,2023,1686.871,Normal value,False
Historical population data,FRA,France,Population,Persons,Female,From 15 to 64 years,2023,21279.43,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Female,From 15 to 64 years,2023,3303.347,Normal value,False
Historical population data,HUN,Hungary,Population,Persons,Female,From 15 to 64 years,2023,3077.58,Normal value,False
Historical population data,ISL,Iceland,Population,Persons,Female,From 15 to 64 years,2023,120.947,Normal value,False
Historical population data,IRL,Ireland,Population,Persons,Female,From 15 to 64 years,2023,1753.979,Normal value,False
Historical population data,ISR,Israel,Population,Persons,Female,From 15 to 64 years,2023,2870.5,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Female,From 15 to 64 years,2023,18640.606,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Female,From 15 to 64 years,2023,36434.043,Normal value,False
Historical population data,KOR,Korea,Population,Persons,Female,From 15 to 64 years,2023,17785.229,Normal value,False
Historical population data,LVA,Latvia,Population,Persons,Female,From 15 to 64 years,2023,605.045,Normal value,False
Historical population data,LTU,Lithuania,Population,Persons,Female,From 15 to 64 years,2023,939.536,Normal value,False
Historical population data,LUX,Luxembourg,Population,Persons,Female,From 15 to 64 years,2023,225.47,Normal value,False
Historical population data,MEX,Mexico,Population,Persons,Female,From 15 to 64 years,2023,45311.401,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Female,From 15 to 64 years,2023,5723.949,Normal value,False
Historical population data,NZL,New Zealand,Population,Persons,Female,From 15 to 64 years,2023,1687.77,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Female,From 15 to 64 years,2023,1752.112,Normal value,False
Historical population data,POL,Poland,Population,Persons,Female,From 15 to 64 years,2023,12236.435,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Female,From 15 to 64 years,2023,3417.16,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Female,From 15 to 64 years,2023,1762.813,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Female,From 15 to 64 years,2023,643.307,Normal value,False
Historical population data,ESP,Spain,Population,Persons,Female,From 15 to 64 years,2023,15956.557,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Female,From 15 to 64 years,2023,3200.226,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Female,From 15 to 64 years,2023,2885.203,Normal value,False
Historical population data,TUR,Türkiye,Population,Persons,Female,From 15 to 64 years,2023,28815.158,Normal value,False
