structure_name,country_code,country,measure,unit_of_measure,sex,age,year,population_value,observation_status,is_estimated
Historical population data,FRA,France,Population,Persons,Total,From 15 to 64 years,2016,41721.962,Normal value,False
Historical population data,FRA,France,Population,Persons,Total,From 15 to 64 years,2017,41665.47,Normal value,False
Historical population data,FRA,France,Population,Persons,Total,From 15 to 64 years,2018,41671.167,Normal value,False
Historical population data,FRA,France,Population,Persons,Total,From 15 to 64 years,2019,41677.958,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Total,From 15 to 64 years,2016,5618.39,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Total,From 15 to 64 years,2017,5653.105,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Total,From 15 to 64 years,2018,5674.095,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Total,From 15 to 64 years,2019,5694.398,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Total,From 15 to 64 years,2020,5719.839,Normal value,False
Historical population data,CHE,Switzerland,Population,Persons,Total,From 15 to 64 years,2021,5746.095,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Total,From 15 to 64 years,2016,6713.741,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Total,From 15 to 64 years,2017,6674.545,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Total,From 15 to 64 years,2018,6644.314,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Total,From 15 to 64 years,2019,6627.668,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Total,From 15 to 64 years,2020,6616.292,Normal value,False
Historical population data,PRT,Portugal,Population,Persons,Total,From 15 to 64 years,2021,6604.818,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Total,From 15 to 64 years,2016,11117.063,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Total,From 15 to 64 years,2017,11159.716,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Total,From 15 to 64 years,2018,11203.843,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Total,From 15 to 64 years,2019,11258.636,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Total,From 15 to 64 years,2020,11297.54,Normal value,False
Historical population data,NLD,Netherlands,Population,Persons,Total,From 15 to 64 years,2021,11329.457,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Total,From 15 to 64 years,2016,38554.409,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Total,From 15 to 64 years,2017,38429.628,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Total,From 15 to 64 years,2018,38310.756,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Total,From 15 to 64 years,2019,38153.205,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Total,From 15 to 64 years,2020,37856.485,Normal value,False
Historical population data,ITA,Italy,Population,Persons,Total,From 15 to 64 years,2021,37573.534,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Total,From 15 to 64 years,2016,6913.955,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Total,From 15 to 64 years,2017,6874.061,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Total,From 15 to 64 years,2018,6839.289,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Total,From 15 to 64 years,2019,6814.549,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Total,From 15 to 64 years,2020,6782.44,Normal value,False
Historical population data,GRC,Greece,Population,Persons,Total,From 15 to 64 years,2021,6708.84,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Total,From 15 to 64 years,2016,6221.974,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Total,From 15 to 64 years,2017,6288.358,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Total,From 15 to 64 years,2018,6347.082,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Total,From 15 to 64 years,2019,6401.074,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Total,From 15 to 64 years,2020,6440.403,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Total,From 15 to 64 years,2021,6473.933,Normal value,False
Historical population data,SWE,Sweden,Population,Persons,Total,From 15 to 64 years,2022,6519.894,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Total,From 15 to 64 years,2016,1371.289,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Total,From 15 to 64 years,2017,1360.846,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Total,From 15 to 64 years,2018,1350.886,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Total,From 15 to 64 years,2019,1355.926,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Total,From 15 to 64 years,2020,1353.614,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Total,From 15 to 64 years,2021,1348.577,Normal value,False
Historical population data,SVN,Slovenia,Population,Persons,Total,From 15 to 64 years,2022,1342.136,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Total,From 15 to 64 years,2016,3795.364,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Total,From 15 to 64 years,2017,3764.51,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Total,From 15 to 64 years,2018,3733.312,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Total,From 15 to 64 years,2019,3703.519,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Total,From 15 to 64 years,2020,3674.22,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Total,From 15 to 64 years,2021,3634.818,Normal value,False
Historical population data,SVK,Slovak Republic,Population,Persons,Total,From 15 to 64 years,2022,3601.615,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Total,From 15 to 64 years,2016,3435.361,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Total,From 15 to 64 years,2017,3453.023,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Total,From 15 to 64 years,2018,3467.336,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Total,From 15 to 64 years,2019,3485.022,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Total,From 15 to 64 years,2020,3499.836,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Total,From 15 to 64 years,2021,3511.921,Normal value,False
Historical population data,NOR,Norway,Population,Persons,Total,From 15 to 64 years,2022,3540.635,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Total,From 15 to 64 years,2016,76672.916,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Total,From 15 to 64 years,2017,76190.433,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Total,From 15 to 64 years,2018,75795.908,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Total,From 15 to 64 years,2019,75541.537,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Total,From 15 to 64 years,2020,75087.865,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Total,From 15 to 64 years,2021,74503.763,Normal value,False
Historical population data,JPN,Japan,Population,Persons,Total,From 15 to 64 years,2022,74208.164,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Total,From 15 to 64 years,2016,3463.659,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Total,From 15 to 64 years,2017,3451.264,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Total,From 15 to 64 years,2018,3437.117,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Total,From 15 to 64 years,2019,3426.913,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Total,From 15 to 64 years,2020,3419.992,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Total,From 15 to 64 years,2021,3417.206,Normal value,False
Historical population data,FIN,Finland,Population,Persons,Total,From 15 to 64 years,2022,3423.271,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Total,From 15 to 64 years,2016,3678.647,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Total,From 15 to 64 years,2017,3694.468,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Total,From 15 to 64 years,2018,3703.664,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Total,From 15 to 64 years,2019,3712.866,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Total,From 15 to 64 years,2020,3707.906,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Total,From 15 to 64 years,2021,3715.943,Normal value,False
Historical population data,DNK,Denmark,Population,Persons,Total,From 15 to 64 years,2022,3754.139,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Total,From 15 to 64 years,2016,6969.535,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Total,From 15 to 64 years,2017,6916.867,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Total,From 15 to 64 years,2018,6881.729,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Total,From 15 to 64 years,2019,6859.082,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Total,From 15 to 64 years,2020,6839.835,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Total,From 15 to 64 years,2021,6652.493,Normal value,False
Historical population data,CZE,Czechia,Population,Persons,Total,From 15 to 64 years,2022,6823.882,Normal value,False
