structure_name,country_code,country,measure,unit_measure,adjustment,sex,age_group,frequency,time_period,year,quarter,employment_value,observation_status,is_estimated
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2016-Q4,2016,Q4,7967.045,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2017-Q1,2017,Q1,7965.938,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2017-Q2,2017,Q2,8060.988,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2017-Q3,2017,Q3,8101.542,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2017-Q4,2017,Q4,8155.116,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2018-Q1,2018,Q1,8177.799,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2018-Q2,2018,Q2,8221.402,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2018-Q3,2018,Q3,8249.563,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2018-Q4,2018,Q4,8301.24,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2019-Q1,2019,Q1,8336.558,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2019-Q2,2019,Q2,8410.55,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2019-Q3,2019,Q3,8447.218,Normal value,False
Employed population by age groups,AUS,Australia,Employment,Persons,Calendar and seasonally adjusted,Total,From 25 to 54 years,Quarterly,2019-Q4,2019,Q4,8464.701,Normal value,False
